,0
0,Alaska
1,Arizona
2,Arkansas
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,North Carolina
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
